caller_file,caller,callee_file,callee,count,cross_file
callback.c,waves_callback,token.c,get_tok_value,14,1
draw.c,draw_graph,editprop.c,my_strdup2,14,1
scheduler.c,xschem,xinit.c,new_schematic,14,1
scheduler.c,xschem,scheduler.c,tclvareval,14,0
spectre_netlist.c,global_spectre_netlist,editprop.c,my_strdup,14,1
spice_netlist.c,global_spice_netlist,editprop.c,my_strdup,14,1
verilog_netlist.c,global_verilog_netlist,token.c,get_tok_value,14,1
verilog_netlist.c,verilog_block_netlist,editprop.c,my_strdup,14,1
actions.c,copy_symbol,editprop.c,my_calloc,13,1
actions.c,get_sch_from_sym,editprop.c,my_strncpy,13,1
draw.c,draw_graph_grid,draw.c,drawline,13,0
draw.c,draw_graph,editprop.c,dbg,13,1
editprop.c,update_symbol,editprop.c,dbg,13,0
scheduler.c,xschem,editprop.c,dtoa,13,1
token.c,print_vhdl_primitive,token.c,get_tok_value,13,0
token.c,print_vhdl_primitive,editprop.c,my_free,13,1
token.c,print_vhdl_element,token.c,get_tok_value,13,0
token.c,print_spice_element,token.c,get_tok_value,13,0
token.c,print_spectre_element,token.c,get_tok_value,13,0
token.c,print_verilog_primitive,editprop.c,my_free,13,1
token.c,get_fqdevice,editprop.c,my_snprintf,13,1
verilog_netlist.c,global_verilog_netlist,editprop.c,dbg,13,1
vhdl_netlist.c,global_vhdl_netlist,editprop.c,dbg,13,1
actions.c,set_inst_flags,token.c,get_tok_value,12,1
callback.c,handle_key_press,move.c,copy_objects,12,1
draw.c,graph_fullyzoom,editprop.c,my_strdup2,12,1
move.c,draw_selection,draw.c,drawtemprect,12,1
netlist.c,sym_vs_sch_pins,save.c,read_line,12,1
scheduler.c,xschem,move.c,copy_objects,12,1
scheduler.c,xschem,actions.c,save_restore_zoom,12,1
scheduler.c,xschem,token.c,subst_token,12,1
spectre_netlist.c,global_spectre_netlist,token.c,get_tok_value,12,1
spice_netlist.c,global_spice_netlist,token.c,get_tok_value,12,1
token.c,print_verilog_primitive,token.c,get_tok_value,12,0
callback.c,handle_key_press,move.c,rebuild_selected_array,11,1
draw.c,find_closest_wave,editprop.c,dbg,11,1
draw.c,find_closest_wave,editprop.c,my_strdup2,11,1
draw.c,find_closest_wave,editprop.c,my_free,11,1
editprop.c,edit_text_property,scheduler.c,tclgetvar,11,1
in_memory_undo.c,mem_push_undo,editprop.c,my_strdup,11,1
in_memory_undo.c,mem_pop_undo,editprop.c,my_strdup,11,1
save.c,load_sym_def,editprop.c,my_calloc,11,1
spectre_netlist.c,global_spectre_netlist,editprop.c,my_free,11,1
spice_netlist.c,global_spice_netlist,editprop.c,my_free,11,1
token.c,print_spice_element,editprop.c,my_strdup,11,1
token.c,print_spectre_element,editprop.c,my_strdup,11,1
verilog_netlist.c,verilog_block_netlist,editprop.c,my_free,11,1
vhdl_netlist.c,global_vhdl_netlist,editprop.c,my_free,11,1
vhdl_netlist.c,vhdl_block_netlist,editprop.c,dbg,11,1
xinit.c,xwin_exit,editprop.c,my_free,11,1
xinit.c,toggle_fullscreen,scheduler.c,tclvareval,11,1
xinit.c,Tcl_AppInit,scheduler.c,tclgetboolvar,11,1
actions.c,set_sym_flags,token.c,get_tok_value,10,1
actions.c,set_inst_flags,editprop.c,strboolcmp,10,1
actions.c,get_additional_symbols,editprop.c,dbg,10,1
callback.c,waves_callback,editprop.c,mylog10,10,1
callback.c,handle_key_press,editprop.c,dbg,10,1
draw.c,draw_graph_variables,editprop.c,my_snprintf,10,1
hilight.c,search,editprop.c,dbg,10,1
node_hash.c,node_hash_lookup,editprop.c,my_strdup,10,1
psprint.c,create_ps,editprop.c,dbg,10,1
save.c,free_rawfile,editprop.c,my_free,10,1
save.c,write_xschem_file,save.c,save_ascii_string,10,0
save.c,load_schematic,editprop.c,my_strncpy,10,1
save.c,load_schematic,editprop.c,my_snprintf,10,1
save.c,load_sym_def,editprop.c,my_realloc,10,1
save.c,load_sym_def,editprop.c,strboolcmp,10,1
scheduler.c,xschem,xinit.c,change_linewidth,10,1
scheduler.c,xschem,token.c,hash_names,10,1
spectre_netlist.c,global_spectre_netlist,editprop.c,dbg,10,1
spice_netlist.c,global_spice_netlist,editprop.c,dbg,10,1
token.c,print_vhdl_primitive,editprop.c,my_strdup,10,1
token.c,print_verilog_primitive,editprop.c,my_strdup,10,1
token.c,print_verilog_element,editprop.c,my_free,10,1
token.c,translate,editprop.c,my_malloc,10,1
token.c,translate,editprop.c,strtolower,10,1
vhdl_netlist.c,vhdl_block_netlist,editprop.c,my_strdup,10,1
xinit.c,swap_windows,scheduler.c,tclvareval,10,1
xinit.c,create_new_window,scheduler.c,tclvareval,10,1
actions.c,set_text_flags,token.c,get_tok_value,9,1
actions.c,copy_symbol,editprop.c,my_strdup2,9,1
draw.c,grabscreen,editprop.c,dbg,9,1
draw.c,edit_wave_attributes,editprop.c,my_strdup2,9,1
draw.c,draw,draw.c,drawline,9,0
editprop.c,update_symbol,editprop.c,my_free,9,0
editprop.c,update_symbol,editprop.c,my_strdup,9,0
in_memory_undo.c,mem_push_undo,editprop.c,my_strdup2,9,1
in_memory_undo.c,mem_pop_undo,editprop.c,my_strdup2,9,1
move.c,draw_selection,draw.c,drawtempline,9,1
move.c,place_moved_wire,move.c,order_wire_points,9,0
netlist.c,name_nodes_of_pins_labels_and_propagate,editprop.c,my_strdup,9,1
netlist.c,name_nodes_of_pins_labels_and_propagate,token.c,get_tok_value,9,1
netlist.c,sym_vs_sch_pins,save.c,load_ascii_string,9,1
netlist.c,sym_vs_sch_pins,editprop.c,my_snprintf,9,1
save.c,create_sch_from_sym,editprop.c,my_free,9,1
save.c,save_selection,save.c,save_ascii_string,9,0
scheduler.c,xschem,store.c,storeobject,9,1
scheduler.c,xschem,actions.c,abs_sym_path,9,1
scheduler.c,xschem,actions.c,calc_drawing_bbox,9,1
scheduler.c,xschem,draw.c,sch_waves_loaded,9,1
select.c,delete,editprop.c,my_free,9,1
spice_netlist.c,hier_psprint,editprop.c,my_strcat,9,1
token.c,print_verilog_element,editprop.c,my_strdup,9,1
token.c,translate,editprop.c,my_strdup2,9,1
verilog_netlist.c,global_verilog_netlist,editprop.c,my_free,9,1
vhdl_netlist.c,global_vhdl_netlist,token.c,get_cell,9,1
xinit.c,create_new_tab,scheduler.c,tclvareval,9,1
xinit.c,Tcl_AppInit,scheduler.c,tclgetintvar,9,1
actions.c,set_sym_flags,editprop.c,strboolcmp,8,1
actions.c,place_symbol,editprop.c,dbg,8,1
actions.c,copy_hierarchy_data,editprop.c,my_strdup2,8,1
actions.c,get_additional_symbols,editprop.c,my_free,8,1
actions.c,place_text,scheduler.c,tclgetvar,8,1
check.c,trim_wires,netlist.c,skip_wire,8,1
draw.c,graph_fullxzoom,editprop.c,my_strdup2,8,1
draw.c,graph_fullyzoom,token.c,find_nth,8,1
draw.c,setup_graph_data,editprop.c,atof_eng,8,1
draw.c,draw_graph,token.c,get_tok_value,8,1
draw.c,draw_graph,token.c,find_nth,8,1
draw.c,draw_graph,select.c,bbox,8,1
editprop.c,strboolcmp,editprop.c,my_strcasecmp,8,0
hilight.c,hilight_parent_pins,editprop.c,dbg,8,1
hilight.c,search,token.c,get_tok_value,8,1
hilight.c,propagate_logic,editprop.c,dbg,8,1
hilight.c,hilight_net,editprop.c,dbg,8,1
hilight.c,resolved_net,editprop.c,dbg,8,1
in_memory_undo.c,mem_init_undo,editprop.c,my_calloc,8,1
in_memory_undo.c,mem_delete_undo,editprop.c,my_free,8,1
in_memory_undo.c,mem_push_undo,editprop.c,my_calloc,8,1
in_memory_undo.c,mem_pop_undo,editprop.c,my_free,8,1
in_memory_undo.c,mem_pop_undo,editprop.c,my_calloc,8,1
move.c,update_attached_floaters,token.c,get_tok_value,8,1
move.c,update_attached_floaters,editprop.c,my_strdup,8,1
move.c,update_attached_floaters,token.c,subst_token,8,1
move.c,copy_objects,editprop.c,my_strdup2,8,1
psprint.c,ps_draw_symbol,editprop.c,my_snprintf,8,1
psprint.c,create_ps,editprop.c,my_snprintf,8,1
save.c,pop_undo,editprop.c,dbg,8,1
save.c,load_sym_def,editprop.c,my_malloc,8,1
save.c,create_sch_from_sym,editprop.c,my_strdup,8,1
scheduler.c,xschem,token.c,get_cell,8,1
scheduler.c,xschem,netlist.c,prepare_netlist_structs,8,1
scheduler.c,xschem,actions.c,zoom_full,8,1
spectre_netlist.c,global_spectre_netlist,scheduler.c,tclgetboolvar,8,1
spice_netlist.c,global_spice_netlist,scheduler.c,tclgetboolvar,8,1
token.c,has_included_subcircuit,editprop.c,my_strdup2,8,1
token.c,print_spice_subckt_nodes,token.c,get_tok_value,8,0
token.c,print_spectre_subckt_nodes,token.c,get_tok_value,8,0
token.c,print_spice_element,editprop.c,dbg,8,1
token.c,print_spectre_element,editprop.c,dbg,8,1
token.c,get_pin_attr,editprop.c,my_strdup2,8,1
token.c,get_pin_attr,editprop.c,my_free,8,1
verilog_netlist.c,global_verilog_netlist,netlist.c,skip_instance,8,1
xinit.c,compare_schematics,spice_netlist.c,int_hash_lookup,8,1
xinit.c,build_colors,scheduler.c,tcleval,8,1
xinit.c,preview_window,editprop.c,dbg,8,1
xinit.c,Tcl_AppInit,scheduler.c,tclvareval,8,1
xinit.c,Tcl_AppInit,xinit.c,source_tcl_file,8,0
actions.c,attach_labels_to_inst,editprop.c,my_strdup,7,1
actions.c,attach_labels_to_inst,editprop.c,my_free,7,1
actions.c,place_symbol,editprop.c,my_strncpy,7,1
actions.c,place_symbol,editprop.c,my_mstrcat,7,1
actions.c,get_sch_from_sym,editprop.c,dbg,7,1
actions.c,calc_drawing_bbox,save.c,updatebbox,7,1
callback.c,backannotate_at_cursor_b_pos,editprop.c,dbg,7,1
callback.c,handle_button_press,scheduler.c,tcleval,7,1
callback.c,callback,scheduler.c,tclgetboolvar,7,1
callback.c,callback,editprop.c,dbg,7,1
check.c,trim_wires,netlist.c,get_square,7,1
draw.c,graph_fullyzoom,token.c,get_tok_value,7,1
draw.c,graph_fullyzoom,editprop.c,dbg,7,1
draw.c,find_closest_wave,token.c,find_nth,7,1
draw.c,get_surface_from_file,editprop.c,dbg,7,1
editprop.c,get_attr_val,editprop.c,my_strcasecmp,7,0
editprop.c,edit_property,editprop.c,my_strdup,7,0
hilight.c,create_plot_cmd,editprop.c,my_free,7,1
hilight.c,search,hilight.c,win_regexec,7,0
hilight.c,search,select.c,set_first_sel,7,1
hilight.c,print_hilight_net,scheduler.c,tcleval,7,1
move.c,rebuild_selected_array,store.c,check_selected_storage,7,1
move.c,draw_selection,draw.c,drawtemparc,7,1
netlist.c,hash_objects,netlist.c,hash_object,7,0
netlist.c,set_tcl_netlist_type,scheduler.c,tclsetvar,7,1
netlist.c,name_nodes_of_pins_labels_and_propagate,editprop.c,my_free,7,1
netlist.c,sym_vs_sch_pins,scheduler.c,statusmsg,7,1
netlist.c,sym_vs_sch_pins,editprop.c,my_free,7,1
node_hash.c,node_hash_lookup,editprop.c,my_free,7,1
node_hash.c,node_hash_free_entry,editprop.c,my_free,7,1
save.c,read_raw_ascii_point,editprop.c,dbg,7,1
save.c,raw_read,editprop.c,dbg,7,1
save.c,save_embedded_symbol,save.c,save_ascii_string,7,0
save.c,read_xschem_file,save.c,load_ascii_string,7,0
scheduler.c,xschem,scheduler.c,tclgetvar,7,0
scheduler.c,xschem,xinit.c,get_window_count,7,1
scheduler.c,xschem,actions.c,zoom_box,7,1
scheduler.c,xschem,editprop.c,atof_spice,7,1
select.c,select_dangling_nets,clip.c,touch,7,1
select.c,del_rect_line_arc_poly,editprop.c,my_free,7,1
store.c,storeobject,token.c,get_tok_value,7,1
svgdraw.c,svg_draw_symbol,editprop.c,my_snprintf,7,1
svgdraw.c,svg_draw,editprop.c,my_snprintf,7,1
token.c,print_vhdl_element,editprop.c,my_free,7,1
token.c,print_generic,editprop.c,my_free,7,1
token.c,has_included_subcircuit,editprop.c,dbg,7,1
token.c,has_included_subcircuit,editprop.c,my_free,7,1
token.c,print_spice_subckt_nodes,editprop.c,my_free,7,1
token.c,print_spectre_subckt_nodes,editprop.c,my_free,7,1
token.c,print_spectre_element,editprop.c,my_strdup2,7,1
token.c,net_name,editprop.c,my_snprintf,7,1
token.c,translate,scheduler.c,tclgetboolvar,7,1
token.c,translate,save.c,get_raw_index,7,1
token.c,translate2,editprop.c,dbg,7,1
vhdl_netlist.c,global_vhdl_netlist,netlist.c,skip_instance,7,1
vhdl_netlist.c,vhdl_block_netlist,token.c,get_cell,7,1
xinit.c,resetwin,editprop.c,dbg,7,1
xinit.c,Tcl_AppInit,editprop.c,my_strdup,7,1
actions.c,set_wire_flags,token.c,get_tok_value,6,1
actions.c,set_wire_flags,editprop.c,strboolcmp,6,1
actions.c,attach_labels_to_inst,scheduler.c,tclsetvar,6,1
actions.c,place_symbol,editprop.c,my_free,6,1
actions.c,toggle_ignore,editprop.c,my_strdup,6,1
actions.c,toggle_ignore,token.c,subst_token,6,1
actions.c,get_additional_symbols,token.c,get_tok_value,6,1
actions.c,get_additional_symbols,editprop.c,my_strdup2,6,1
actions.c,get_additional_symbols,token.c,subst_token,6,1
actions.c,get_sch_from_sym,actions.c,abs_sym_path,6,0
actions.c,descend_schematic,editprop.c,my_strdup2,6,1
callback.c,waves_callback,scheduler.c,tclgetboolvar,6,1
callback.c,waves_callback,editprop.c,dtoa_eng,6,1
callback.c,waves_callback,scheduler.c,tclvareval,6,1
callback.c,waves_callback,editprop.c,atof_eng,6,1
callback.c,draw_crosshair_shape,draw.c,draw_xhair_line,6,1
callback.c,edit_polygon_point,editprop.c,my_realloc,6,1
callback.c,unselect_attached_floaters,token.c,get_tok_value,6,1
callback.c,handle_key_press,editprop.c,my_snprintf,6,1
callback.c,handle_key_press,scheduler.c,tclresult,6,1
callback.c,handle_key_press,callback.c,redraw_w_a_l_r_p_z_rubbers,6,0
callback.c,handle_window_switching,editprop.c,dbg,6,1
check.c,break_wires_at_pins,editprop.c,dbg,6,1
draw.c,graph_fullxzoom,token.c,get_tok_value,6,1
draw.c,graph_fullxzoom,editprop.c,my_free,6,1
draw.c,graph_fullyzoom,editprop.c,my_strdup,6,1
draw.c,draw_graph_bus_points,draw.c,drawline,6,0
draw.c,edit_wave_attributes,token.c,subst_token,6,1
draw.c,edit_wave_attributes,editprop.c,my_itoa,6,1
editprop.c,edit_property,save.c,push_undo,6,1
hilight.c,resolved_net,editprop.c,my_strdup2,6,1
in_memory_undo.c,free_undo_texts,editprop.c,my_free,6,1
move.c,draw_selection,draw.c,drawtemp_manhattanline,6,1
move.c,copy_objects,move.c,draw_selection,6,0
move.c,move_objects,move.c,draw_selection,6,0
netlist.c,netlist_options,token.c,get_tok_value,6,1
netlist.c,netlist_options,scheduler.c,tclsetintvar,6,1
netlist.c,sym_vs_sch_pins,token.c,get_tok_value,6,1
netlist.c,sym_vs_sch_pins,editprop.c,my_strdup,6,1
options.c,check_opt,editprop.c,my_strncpy,6,1
paste.c,merge_file,save.c,load_ascii_string,6,1
psprint.c,ps_embedded_image,token.c,get_tok_value,6,1
psprint.c,ps_draw_symbol,psprint.c,set_ps_colors,6,0
save.c,read_dataset,editprop.c,my_mstrcat,6,1
save.c,new_rawfile,editprop.c,my_calloc,6,1
save.c,extra_rawfile,scheduler.c,tclvareval,6,1
save.c,extra_rawfile,editprop.c,my_strncpy,6,1
save.c,extra_rawfile,scheduler.c,tclresult,6,1
save.c,read_record,editprop.c,dbg,6,1
save.c,load_schematic,editprop.c,dbg,6,1
save.c,use_lcc_pins,editprop.c,my_snprintf,6,1
save.c,use_lcc_pins,scheduler.c,tclgetvar,6,1
save.c,create_sch_from_sym,scheduler.c,tcleval,6,1
save.c,descend_symbol,editprop.c,my_strdup,6,1
scheduler.c,xschem,scheduler.c,tclsetboolvar,6,0
scheduler.c,xschem,scheduler.c,get_symbol,6,0
scheduler.c,xschem,actions.c,place_symbol,6,1
scheduler.c,xschem,select.c,symbol_bbox,6,1
scheduler.c,xschem,actions.c,set_viewport_size,6,1
scheduler.c,xschem,actions.c,saveas,6,1
select.c,symbol_bbox,editprop.c,dbg,6,1
select.c,select_attached_floaters,token.c,get_tok_value,6,1
select.c,select_inside,select.c,select_box,6,0
spectre_netlist.c,global_spectre_netlist,editprop.c,my_snprintf,6,1
spectre_netlist.c,spectre_block_netlist,token.c,get_tok_value,6,1
spice_netlist.c,global_spice_netlist,editprop.c,my_snprintf,6,1
spice_netlist.c,spice_block_netlist,token.c,get_tok_value,6,1
token.c,new_prop_string,editprop.c,my_free,6,1
token.c,print_vhdl_element,editprop.c,my_strdup,6,1
token.c,print_verilog_param,editprop.c,my_free,6,1
token.c,has_included_subcircuit,token.c,get_tok_value,6,0
token.c,print_spectre_element,token.c,translate3,6,0
token.c,get_pin_attr,editprop.c,dbg,6,1
token.c,translate,draw.c,sch_waves_loaded,6,1
token.c,translate,token.c,get_tok_value,6,0
token.c,translate2,editprop.c,my_free,6,1
verilog_netlist.c,global_verilog_netlist,scheduler.c,tclgetboolvar,6,1
verilog_netlist.c,global_verilog_netlist,editprop.c,my_snprintf,6,1
verilog_netlist.c,verilog_block_netlist,editprop.c,dbg,6,1
vhdl_netlist.c,vhdl_netlist,editprop.c,dbg,6,1
vhdl_netlist.c,global_vhdl_netlist,scheduler.c,tclgetboolvar,6,1
vhdl_netlist.c,global_vhdl_netlist,editprop.c,my_snprintf,6,1
vhdl_netlist.c,global_vhdl_netlist,editprop.c,strboolcmp,6,1
vhdl_netlist.c,vhdl_block_netlist,editprop.c,my_free,6,1
xinit.c,compare_schematics,editprop.c,my_realloc,6,1
xinit.c,compare_schematics,editprop.c,my_snprintf,6,1
xinit.c,xwin_exit,editprop.c,dbg,6,1
xinit.c,switch_window,editprop.c,dbg,6,1
actions.c,attach_labels_to_inst,scheduler.c,tcleval,5,1
actions.c,copy_symbol,editprop.c,my_strdup,5,1
actions.c,descend_schematic,editprop.c,my_free,5,1
actions.c,new_wire,store.c,storeobject,5,1
actions.c,new_wire,netlist.c,hash_wire,5,1
actions.c,new_wire,draw.c,drawline,5,1
actions.c,new_line,store.c,storeobject,5,1
actions.c,new_line,draw.c,drawline,5,1
actions.c,new_polygon,draw.c,drawtemppolygon,5,1
callback.c,waves_callback,editprop.c,my_strdup2,5,1
callback.c,waves_callback,actions.c,there_are_floaters,5,1
callback.c,waves_callback,callback.c,backannotate_at_cursor_b_pos,5,0
callback.c,waves_callback,actions.c,set_modify,5,1
callback.c,end_place_move_copy_zoom,scheduler.c,tcleval,5,1
callback.c,handle_motion_notify,actions.c,select_rect,5,1
callback.c,handle_key_press,scheduler.c,tclsetboolvar,5,1
callback.c,handle_key_press,hilight.c,print_hilight_net,5,1
callback.c,handle_button_press,editprop.c,dbg,5,1
check.c,trim_wires,editprop.c,dbg,5,1
check.c,trim_wires,editprop.c,my_free,5,1
draw.c,draw_string,editprop.c,my_free,5,1
draw.c,drawtemp_manhattanline,draw.c,drawtempline,5,0
draw.c,find_closest_wave,token.c,get_tok_value,5,1
draw.c,draw_graph,draw.c,sch_waves_loaded,5,0
draw.c,draw_image,editprop.c,my_free,5,1
draw.c,draw,scheduler.c,tclgetboolvar,5,1
editprop.c,edit_polygon_property,token.c,get_tok_value,5,1
editprop.c,edit_text_property,scheduler.c,tclsetvar,5,1
editprop.c,update_symbol,save.c,push_undo,5,1
hilight.c,display_hilights,editprop.c,my_strcat,5,1
hilight.c,create_plot_cmd,scheduler.c,tcleval,5,1
hilight.c,create_plot_cmd,editprop.c,my_strcat,5,1
hilight.c,hilight_child_pins,editprop.c,dbg,5,1
hilight.c,drill_hilight,editprop.c,dbg,5,1
hilight.c,logic_set,select.c,bbox,5,1
hilight.c,draw_hilight_net,hilight.c,get_color,5,0
hilight.c,print_hilight_net,editprop.c,my_snprintf,5,1
in_memory_undo.c,free_undo_polygons,editprop.c,my_free,5,1
in_memory_undo.c,free_undo_instances,editprop.c,my_free,5,1
move.c,copy_objects,editprop.c,dbg,5,1
move.c,copy_objects,move.c,update_symbol_bboxes,5,0
move.c,move_objects,move.c,update_symbol_bboxes,5,0
netlist.c,check_lib,scheduler.c,tcleval,5,1
netlist.c,set_lab_or_pin_inst_attr,editprop.c,my_strdup,5,1
netlist.c,set_lab_or_pin_inst_attr,token.c,get_tok_value,5,1
netlist.c,set_lab_or_pin_inst_attr,editprop.c,my_free,5,1
netlist.c,skip_wire,netlist.c,skip_wire2,5,0
netlist.c,skip_instance,netlist.c,skip_instance2,5,0
netlist.c,sym_vs_sch_pins,editprop.c,dbg,5,1
node_hash.c,traverse_node_hash,editprop.c,my_snprintf,5,1
node_hash.c,traverse_node_hash,hilight.c,bus_hilight_hash_lookup,5,1
node_hash.c,traverse_node_hash,hilight.c,incr_hilight_color,5,1
node_hash.c,traverse_node_hash,scheduler.c,statusmsg,5,1
psprint.c,ps_embedded_image,editprop.c,my_free,5,1
psprint.c,create_ps,scheduler.c,tclgetboolvar,5,1
rawtovcd.c,dump_vcd_waves,rawtovcd.c,tobin,5,0
save.c,read_raw_data_block,editprop.c,dbg,5,1
save.c,read_dataset,spice_netlist.c,int_hash_lookup,5,1
save.c,table_read,editprop.c,dbg,5,1
save.c,get_raw_index,spice_netlist.c,int_hash_lookup,5,1
save.c,plot_raw_custom_data,editprop.c,dbg,5,1
save.c,plot_raw_custom_data,save.c,ravg_store,5,0
save.c,read_xschem_file,editprop.c,dbg,5,1
save.c,read_xschem_file,editprop.c,my_strdup2,5,1
save.c,load_schematic,scheduler.c,tcleval,5,1
save.c,get_sym_type,editprop.c,dbg,5,1
save.c,load_sym_def,editprop.c,my_fopen,5,1
save.c,load_sym_def,editprop.c,my_snprintf,5,1
save.c,load_sym_def,editprop.c,get_attr_val,5,1
save.c,load_sym_def,editprop.c,my_strcat,5,1
scheduler.c,xschem_cmd_help,actions.c,get_file_path,5,1
scheduler.c,xschem,scheduler.c,tclgetdoublevar,5,0
scheduler.c,xschem,xinit.c,build_colors,5,1
scheduler.c,xschem,scheduler.c,tclsetvar,5,0
scheduler.c,xschem,actions.c,set_netlist_dir,5,1
scheduler.c,xschem,save.c,get_raw_index,5,1
scheduler.c,xschem,netlist.c,record_global_node,5,1
select.c,check_connected_nets,clip.c,touch,5,1
select.c,bbox,editprop.c,dbg,5,1
select.c,unselect_all,draw.c,drawtempline,5,1
select.c,select_inside,select.c,select_arc,5,0
spectre_netlist.c,global_spectre_netlist,token.c,get_cell,5,1
spice_netlist.c,global_spice_netlist,token.c,get_cell,5,1
svgdraw.c,svg_draw,editprop.c,dbg,5,1
tedax_netlist.c,global_tedax_netlist,editprop.c,my_snprintf,5,1
tedax_netlist.c,global_tedax_netlist,editprop.c,my_free,5,1
token.c,get_sym_template,editprop.c,dbg,5,1
token.c,check_unique_names,select.c,bbox,5,1
token.c,print_vhdl_element,editprop.c,dbg,5,1
token.c,print_generic,editprop.c,my_strdup,5,1
token.c,print_generic,token.c,get_tok_value,5,0
token.c,print_spice_subckt_nodes,editprop.c,my_strdup,5,1
token.c,print_spice_subckt_nodes,editprop.c,my_mstrcat,5,1
token.c,print_spectre_subckt_nodes,editprop.c,my_strdup,5,1
token.c,print_spectre_subckt_nodes,editprop.c,my_mstrcat,5,1
token.c,print_spice_element,editprop.c,my_strdup2,5,1
token.c,print_tedax_element,token.c,net_name,5,0
token.c,spice_get_node,editprop.c,dbg,5,1
